"id"	"dataset"	"tissue"	"marker"	"manual_anno"	"manual_broadtype"	"old_manual_CLname"	"old_manual_CLID"	"marker_0"	"celltype_0_anno"	"celltype_0_CLID"	"celltype_0_CLname"	"marker_0.2"	"celltype_0.2_anno"	"celltype_0.2_CLID"	"celltype_0.2_CLname"	"marker_0.4"	"celltype_0.4_anno"	"celltype_0.4_CLID"	"celltype_0.4_CLname"	"marker_0.6"	"celltype_0.6_anno"	"celltype_0.6_CLID"	"celltype_0.6_CLname"	"marker_0.8"	"celltype_0.8_anno"	"celltype_0.8_CLID"	"celltype_0.8_CLname"	"celltype_0.2_broadtype"	"celltype_0.2_score"	"celltype_0.4_broadtype"	"celltype_0.4_score"	"celltype_0.6_broadtype"	"celltype_0.6_score"	"celltype_0.8_broadtype"	"celltype_0.8_score"	"celltype_0_broadtype"	"celltype_0_score"
11	"Azimuth"	"PBMC"	"CD8B, S100B, CCR7, RGS10, NOSIP, LINC02446, LEF1, CRTAM, CD8A, OXNAD1"	"CD8+ Naive T"	"t/nk cell"	"naive thymus-derived CD8-positive, alpha-beta T cell"	"CL:0000900"	" OXNAD1, S100B, CD8A, LINC02446, RGS10, LEF1, CRTAM,CD8B, NOSIP, CCR7"	"Naive CD8+ T cells"	"CL:0000898"	"naive T cell"	"CD8B, CRTAM, OXNAD1, S100B, CCR7, RGS10, LINC02446, NOSIP"	"Naive CD8+ T cells"	"CL:0000898"	"naive T cell"	" CD8A, CCR7, RGS10,CD8B, OXNAD1, S100B"	"CD8+ T cells"	"CL:4052032"	"granzyme H-associated CD8 T cell"	" S100B, RGS10, CCR7, OXNAD1"	"Memory T cells"	"CL:0000813"	"memory T cell"	" LEF1, CD8A"	"CD8+ T cells"	"CL:4052032"	"granzyme H-associated CD8 T cell"	"t/nk cell"	1	"t/nk cell"	1	"T/NK cell"	1	"t/nk cell"	1	"t/nk cell"	1
12	"Azimuth"	"PBMC"	"MKI67, CD8B, TYMS, TRAC, PCLAF, CD3D, CLSPN, CD3G, TK1, RRM2"	"CD8+ Proliferating T"	"t/nk cell"	NA	NA	" CD3D, TYMS, CD3G, RRM2, TK1,MKI67, CLSPN, TRAC, PCLAF, CD8B"	"Proliferating CD8+ T cells"	"CL:4033074"	"cycling CD8-positive, alpha-beta T cell"	" CD8B, TRAC, CD3D, CD3G, TK1, TYMS, CLSPN, RRM2"	"Proliferating CD8+ T cells"	"CL:4033074"	"cycling CD8-positive, alpha-beta T cell"	" CD8B, PCLAF, RRM2, CLSPN, CD3D, TRAC"	"CD8+ T cells"	"CL:4052032"	"granzyme H-associated CD8 T cell"	"MKI67, PCLAF, RRM2, TRAC"	"Proliferating T cells"	"CL:4033069"	"cycling T cell"	" PCLAF, TYMS"	"Proliferating cells"	"CL:4033073"	"cycling monocyte"	"t/nk cell"	1	"t/nk cell"	1	"t/nk cell"	1	"proliferating cell"	1	"t/nk cell"	1
13	"Azimuth"	"PBMC"	"CD8B, ANXA1, CD8A, KRT1, LINC02446, YBX3, IL7R, TRAC, NELL2, LDHB"	"CD8+ Central Memory T"	"t/nk cell"	"central memory CD8-positive, alpha-beta T cell"	"CL:0000907"	" IL7R, YBX3, NELL2, LDHB, CD8A, ANXA1,CD8B, LINC02446, TRAC, KRT1"	"CD8+ T cells"	"CL:4052032"	"granzyme H-associated CD8 T cell"	" LINC02446,CD8B, KRT1, TRAC, YBX3, CD8A, LDHB, IL7R"	"CD8+ T cells"	"CL:4052032"	"granzyme H-associated CD8 T cell"	" TRAC, CD8A,CD8B, ANXA1, NELL2, YBX3"	"CD8+ T cells"	"CL:4052032"	"granzyme H-associated CD8 T cell"	" TRAC, KRT1, IL7R, CD8A"	"CD8+ T cells"	"CL:4052032"	"granzyme H-associated CD8 T cell"	" LINC02446, NELL2"	"T cells"	"CL:0002125"	"CD27-negative gamma-delta T cell"	"t/nk cell"	1	"t/nk cell"	1	"t/nk cell"	1	"t/nk cell"	1	"t/nk cell"	1
14	"Azimuth"	"PBMC"	"CCL5, GZMH, CD8A, TRAC, KLRD1, NKG7, GZMK, CST7, CD8B, TRGC2"	"CD8+ Effector Memory T"	"t/nk cell"	"effector memory CD8-positive, alpha-beta T cell"	"CL:0000913"	" KLRD1, GZMK, CD8A, TRAC, CD8B, NKG7,CCL5, CST7, TRGC2, GZMH"	"CD8+ T cells"	"CL:4052032"	"granzyme H-associated CD8 T cell"	"CCL5, GZMH, NKG7, KLRD1, TRGC2, CD8A, CST7, CD8B"	"Cytotoxic CD8+ T cells"	"CL:0000794"	"CD8-positive, alpha-beta cytotoxic T cell"	" GZMK, CD8A, CD8B, KLRD1, CST7, GZMH"	"CD8+ T cells"	"CL:4052032"	"granzyme H-associated CD8 T cell"	" GZMK, CD8A, TRGC2, GZMH"	"Cytotoxic T cells"	"CL:0000910"	"cytotoxic T cell"	" CD8B, CST7"	"CD8+ T cells"	"CL:4052032"	"granzyme H-associated CD8 T cell"	"t/nk cell"	1	"t/nk cell"	1	"T/NK cell"	1	"t/nk cell"	1	"t/nk cell"	1
15	"Azimuth"	"PBMC"	"PPP1R14A, LILRA4, AXL, IL3RA, SCT, SCN9A, LGMN, DNASE1L3, CLEC4C, GAS6"	"AXL+ Dendritic Cell"	"myeloid cell"	NA	NA	" SCN9A, CLEC4C, LGMN, LILRA4, SCT, AXL, IL3RA, GAS6,PPP1R14A, DNASE1L3"	"Plasmacytoid dendritic cells"	"CL:0000784"	"plasmacytoid dendritic cell"	" SCN9A,PPP1R14A, SCT, LGMN, IL3RA, GAS6, AXL, CLEC4C"	"Plasmacytoid dendritic cells"	"CL:0000784"	"plasmacytoid dendritic cell"	"PPP1R14A, SCT, LGMN, AXL, DNASE1L3, IL3RA"	"Plasmacytoid dendritic cells"	"CL:0000784"	"plasmacytoid dendritic cell"	" SCN9A, LILRA4, LGMN, AXL"	"Plasmacytoid dendritic cells"	"CL:0000784"	"plasmacytoid dendritic cell"	" AXL, LGMN"	"Dendritic cells"	"CL:0000451"	"dendritic cell"	"immune cell"	1	"immune cell"	1	"immune cell"	1	"myeloid cell"	1	"immune cell"	1
16	"Azimuth"	"PBMC"	"CLEC9A, DNASE1L3, C1orf54, IDO1, CLNK, CADM1, FLT3, ENPP1, XCR1, NDRG2"	"Conventional Dendritic Cell 1"	"myeloid cell"	"conventional dendritic cell"	"CL:0000990"	"CLEC9A, ENPP1, CADM1, XCR1, IDO1, NDRG2, FLT3, DNASE1L3, CLNK, C1orf54"	"Conventional dendritic cells type 1"	"CL:0000990"	"conventional dendritic cell"	" ENPP1, CADM1, FLT3, CLNK, NDRG2,CLEC9A, DNASE1L3, XCR1"	"Conventional dendritic cells type 1"	"CL:0000990"	"conventional dendritic cell"	" NDRG2, CADM1, IDO1,CLEC9A, CLNK, FLT3"	"Conventional dendritic cells"	"CL:0000990"	"conventional dendritic cell"	" CADM1, XCR1, DNASE1L3, IDO1"	"Dendritic cells"	"CL:0000451"	"dendritic cell"	" DNASE1L3, CADM1"	"Dendritic cells"	"CL:0000451"	"dendritic cell"	"myeloid cell"	1	"myeloid cell"	1	"myeloid cell"	1	"myeloid cell"	1	"myeloid cell"	1
17	"Azimuth"	"PBMC"	"FCER1A, HLA-DQA1, CLEC10A, CD1C, ENHO, PLD4, GSN, SLC38A1, NDRG2, AFF3"	"Conventional Dendritic Cell 2"	"myeloid cell"	"conventional dendritic cell"	"CL:0000990"	" CD1C, SLC38A1, CLEC10A, ENHO, AFF3, PLD4, GSN, HLA-DQA1,FCER1A, NDRG2"	"Conventional dendritic cells type 2"	"CL:0000990"	"conventional dendritic cell"	" NDRG2,FCER1A, AFF3, SLC38A1, PLD4, HLA-DQA1, CD1C, ENHO"	"Conventional dendritic cells type 2"	"CL:0000990"	"conventional dendritic cell"	" NDRG2,FCER1A, HLA-DQA1, CLEC10A, SLC38A1, CD1C"	"Conventional dendritic cells"	"CL:0000990"	"conventional dendritic cell"	" PLD4,FCER1A, HLA-DQA1, GSN"	"Dendritic cells"	"CL:0000451"	"dendritic cell"	" NDRG2, HLA-DQA1"	"Dendritic cells"	"CL:0000451"	"dendritic cell"	"myeloid cell"	1	"myeloid cell"	1	"myeloid cell"	1	"myeloid cell"	1	"myeloid cell"	1
18	"Azimuth"	"PBMC"	"ITM2C, PLD4, SERPINF1, LILRA4, IL3RA, TPM2, MZB1, SPIB, IRF4, SMPD3"	"Plasmacytoid Dendritic Cell"	"Dendritic cell"	"plasmacytoid dendritic cell"	"CL:0000784"	" LILRA4, IRF4, MZB1, TPM2, IL3RA, SPIB, PLD4, SERPINF1,ITM2C, SMPD3"	"Plasmacytoid dendritic cells"	"CL:0000784"	"plasmacytoid dendritic cell"	" LILRA4, MZB1, TPM2, SMPD3, SPIB, PLD4, IRF4, SERPINF1"	"Plasmacytoid dendritic cells"	"CL:0000784"	"plasmacytoid dendritic cell"	" SERPINF1, IL3RA, SPIB,ITM2C, LILRA4, TPM2"	"Plasmacytoid dendritic cells"	"CL:0000784"	"plasmacytoid dendritic cell"	" LILRA4, SMPD3, IRF4, SPIB"	"Plasmacytoid dendritic cells"	"CL:0000784"	"plasmacytoid dendritic cell"	" SPIB, IRF4"	"Plasmacytoid dendritic cells"	"CL:0000784"	"plasmacytoid dendritic cell"	"immune cell"	1	"immune cell"	1	"immune cell"	1	"immune cell"	1	"immune cell"	1
19	"Azimuth"	"PBMC"	"S100A9, CTSS, S100A8, LYZ, VCAN, S100A12, IL1B, CD14, G0S2, FCN1"	"CD14+ Monocyte"	"myeloid cell"	"CD14-positive monocyte"	"CL:0001054"	" S100A12, G0S2, CD14, LYZ, CTSS, IL1B,S100A9, VCAN, FCN1, S100A8"	"Classical monocytes"	"CL:0000860"	"classical monocyte"	" CTSS, S100A12,S100A9, FCN1, S100A8, LYZ, CD14, VCAN"	"Monocytes"	"CL:0002393"	"intermediate monocyte"	" CTSS, VCAN, CD14, G0S2, IL1B, LYZ"	"Monocytes"	"CL:0002393"	"intermediate monocyte"	" G0S2, CD14, LYZ, VCAN"	"Monocytes"	"CL:0002393"	"intermediate monocyte"	" S100A12, IL1B"	"Monocytes"	"CL:0002393"	"intermediate monocyte"	"myeloid cell"	1	"myeloid cell"	1	"myeloid cell"	1	"myeloid cell"	1	"myeloid cell"	0.5
20	"Azimuth"	"PBMC"	"CDKN1C, FCGR3A, PTPRC, LST1, IER5, MS4A7, RHOC, IFITM3, AIF1, HES4"	"CD16+ Monocyte"	"myeloid cell"	NA	NA	" RHOC,CDKN1C, IFITM3, FCGR3A, AIF1, HES4, MS4A7, LST1, PTPRC, IER5"	"Non-classical monocytes"	"CL:0000875"	"non-classical monocyte"	" IER5, PTPRC, IFITM3, FCGR3A, MS4A7, HES4,CDKN1C, LST1"	"Monocytes"	"CL:0002393"	"intermediate monocyte"	" RHOC, AIF1, IER5, HES4, MS4A7,CDKN1C"	"Monocytes"	"CL:0002393"	"intermediate monocyte"	"CDKN1C, LST1, RHOC, PTPRC"	"Monocytes"	"CL:0002393"	"intermediate monocyte"	" RHOC, LST1"	"Monocytes"	"CL:0002393"	"intermediate monocyte"	"myeloid cell"	1	"myeloid cell"	1	"myeloid cell"	1	"myeloid cell"	1	"myeloid cell"	0.5
21	"Azimuth"	"PBMC"	"GNLY, TYROBP, NKG7, FCER1G, GZMB, TRDC, PRF1, FGFBP2, SPON2, KLRF1"	"CD56-dim Natural Killer"	"t/nk cell"	"CD16-positive, CD56-dim natural killer cell, human"	"CL:0000939"	" PRF1, FGFBP2, KLRF1, TRDC, TYROBP, NKG7,GNLY, FCER1G, GZMB, SPON2"	"NK cells"	"CL:0000825"	"pro-NK cell"	" PRF1,GNLY, NKG7, GZMB, SPON2, FGFBP2, FCER1G, KLRF1"	"NK cells"	"CL:0000825"	"pro-NK cell"	" GZMB,GNLY, NKG7, FGFBP2, SPON2, FCER1G"	"NK cells"	"CL:0000825"	"pro-NK cell"	" TYROBP, NKG7, FGFBP2, PRF1"	"NK cells"	"CL:0000825"	"pro-NK cell"	"GNLY, NKG7"	"NK cells"	"CL:0000825"	"pro-NK cell"	"t/nk cell"	0.5	"t/nk cell"	0.5	"t/nk cell"	0.5	"t/nk cell"	0.5	"t/nk cell"	0.5
22	"Azimuth"	"PBMC"	"MKI67, KLRF1, TYMS, TRDC, TOP2A, FCER1G, PCLAF, CD247, CLSPN, ASPM"	"Proliferating Natural Killer"	"t/nk cell"	NA	NA	" TYMS, TOP2A, FCER1G, CLSPN, ASPM, CD247,MKI67, KLRF1, TRDC, PCLAF"	"Proliferating cells"	"CL:4033073"	"cycling monocyte"	" CLSPN, TRDC,MKI67, FCER1G, KLRF1, TYMS, CD247, PCLAF"	"Proliferating NK cells"	"CL:0000825"	"pro-NK cell"	" TYMS, CD247, TRDC, FCER1G, TOP2A, CLSPN"	"T cells"	"CL:0002125"	"CD27-negative gamma-delta T cell"	" ASPM, PCLAF, CD247, KLRF1"	"Cytotoxic T cells"	"CL:0000910"	"cytotoxic T cell"	"MKI67, TRDC"	"Proliferating gamma delta T cells"	"CL:4033072"	"cycling gamma-delta T cell"	"t/nk cell"	1	"t/nk cell"	1	"T/NK cell"	1	NA	1	"proliferating cell"	1
23	"Azimuth"	"PBMC"	"XCL2, FCER1G, SPINK2, TRDC, KLRC1, XCL1, SPTSSB, PPP1R9A, NCAM1, TNFRSF11A"	"CD56-bright Natural Killer"	"t/nk cell"	"CD16-negative, CD56-bright natural killer cell, human"	"CL:0000938"	" SPTSSB, TRDC, KLRC1,XCL2, TNFRSF11A, XCL1, PPP1R9A, SPINK2, FCER1G, NCAM1"	"Gamma delta T cells"	"CL:0002125"	"CD27-negative gamma-delta T cell"	" FCER1G, SPINK2, PPP1R9A, SPTSSB, XCL1, KLRC1, TRDC, NCAM1"	"Innate lymphoid cells"	"CL:0001065"	"innate lymphoid cell"	" PPP1R9A, TRDC, SPINK2, KLRC1, FCER1G,XCL2"	"NK cells"	"CL:0000825"	"pro-NK cell"	" SPTSSB, XCL1, FCER1G, KLRC1"	"NK cells"	"CL:0000825"	"pro-NK cell"	" TRDC, PPP1R9A"	"Gamma delta T cells"	"CL:0002125"	"CD27-negative gamma-delta T cell"	"innate immune cell"	0	"t/nk cell"	0.5	"t/nk cell"	0.5	"T/NK cell"	1	"T/NK cell"	1
24	"Azimuth"	"PBMC"	"HBD, HBM, AHSP, ALAS2, CA1, SLC4A1, IFIT1B, TRIM58, SELENBP1, TMCC2"	"Erythroid cell"	"erythroid cell"	"erythroid lineage cell"	"CL:0000764"	" SLC4A1,HBD, HBM, TRIM58, SELENBP1, IFIT1B, TMCC2, ALAS2, CA1, AHSP"	"Erythrocytes"	"CL:0002357"	"fetal derived definitive erythrocyte"	"HBD, SLC4A1, AHSP, CA1, SELENBP1, TRIM58, HBM, ALAS2"	"Erythrocytes"	"CL:0002357"	"fetal derived definitive erythrocyte"	" AHSP,HBD, TRIM58, SLC4A1, ALAS2, TMCC2"	"Erythrocytes"	"CL:0002357"	"fetal derived definitive erythrocyte"	" ALAS2, SELENBP1, CA1, HBM"	"Erythrocytes"	"CL:0002357"	"fetal derived definitive erythrocyte"	" TRIM58, TMCC2"	"Erythroid cells"	"CL:0000764"	"erythroid lineage cell"	"erythrocyte"	1	"erythrocyte"	1	"erythrocyte"	1	"erythroid cell"	1	"erythrocyte"	1
25	"Azimuth"	"PBMC"	"SPINK2, PRSS57, CYTL1, EGFL7, GATA2, CD34, SMIM24, AVP, MYB, LAPTM4B"	"Hematopoietic stem and progenitor cell"	"stem/progenitor cell"	"hematopoietic stem cell"	"CL:0000037"	" GATA2, SMIM24, EGFL7, LAPTM4B, PRSS57,SPINK2, AVP, CD34, CYTL1, MYB"	"Hematopoietic stem cells"	"CL:0000037"	"hematopoietic stem cell"	" MYB,SPINK2, CD34, GATA2, SMIM24, EGFL7, CYTL1, LAPTM4B"	"Hematopoietic stem cells"	"CL:0000037"	"hematopoietic stem cell"	" GATA2, CD34,SPINK2, EGFL7, MYB, AVP"	"Hematopoietic stem cells"	"CL:0000037"	"hematopoietic stem cell"	" CD34, SMIM24,SPINK2, LAPTM4B"	"Hematopoietic stem cells"	"CL:0000037"	"hematopoietic stem cell"	" LAPTM4B, SMIM24"	"unknown"	"CL:0000747"	"cyanophore"	"hematopoietic progenitor cell"	1	"hematopoietic progenitor cell"	1	"hematopoietic progenitor cell"	1	"unknown"	0	"hematopoietic progenitor cell"	1
