"original_name"	"broad_type"
"hepatic stellate cell"	"mesenchymal cell"
"smooth muscle cell"	"muscle cell"
"salivary gland cell"	"epithelial cell"
"lymphatic endothelial cell"	"endothelial cell"
"plasmacytoid dendritic cell"	"dendritic cell"
"serous cell"	"epithelial cell"
"cd4+ t cell"	"t/nk cell"
"mait cell"	"t/nk cell"
"treg cell"	"t/nk cell"
"nk t cell"	"t/nk cell"
"nk cell"	"t/nk cell"
"cardiomyocyte-related"	"muscle cell"
"adipocyte"	"adipocyte"
"pericyte"	"mesenchymal cell"
"myoblast"	"muscle cell"
"tendon cell"	"connective tissue cell"
"skeletal muscle cell"	"muscle cell"
"erythrocyte"	"erythroid cell"
"pancreatic acinar cell"	"epithelial cell"
"ductal cell"	"epithelial cell"
"beta cell"	"endocrine cell"
"gamma cell"	"endocrine cell"
"enterochromaffin cell"	"endocrine cell"
"epsilon cell"	"endocrine cell"
"luminal cell"	"epithelial cell"
"ionocyte"	"epithelial cell"
"secretory luminal cell"	"epithelial cell"
"acinar cells"	"epithelial cell"
"b cells"	"B cell"
"t cells"	"t/nk cell"
"myoepithelial cells"	"epithelial cell"
"natural killer cells"	"t/nk cell"
"fibroblasts"	"stromal cell"
"endothelial cells"	"endothelial cell"
"pericytes"	"stromal cell"
"proliferating cells"	"proliferating cell"
"macrophages"	"myeloid cell"
"plasma cells"	"B cell"
"ductal cells"	"epithelial cell"
"basal cells"	"epithelial cell"
"neutrophils"	"myeloid cell"
"salivary gland duct cell"	"epithelial cell"
"t regulatory cell"	"t/nk cell"
"natural killer t cell"	"t/nk cell"
"excitatory neuron"	"neuronal cell"
"inhibitory neuron"	"neuronal cell"
"microglia"	"myeloid cell"
"oligodendrocyte progenitor cell"	"glial cell"
"endocrine cell"	"endocrine cell"
"adrenal cortex cell"	"endocrine cell"
"alveolar type ii cell"	"epithelial cell"
"vascular endothelial cell"	"endothelial cell"
"skeletal muscle cell"	"muscle cell"
"chromaffin cell"	"neuroendocrine cell"
"kidney cell"	"epithelial cell"
"schwann cell"	"glial cell"
"erythroid cell"	"erythroid cell"
"oligodendrocyte progenitor cells"	"glial cell"
"skeletal muscle cells"	"muscle cell"
"mesenchymal stem cells"	"stem cell"
"neural progenitor cells"	"stem cell"
"retinal progenitor cells"	"stem cell"
"hepatocytes"	"epithelial cell"
"neurons"	"neuronal cell"
"vascular smooth muscle cells"	"muscle cell"
"endocrine cells"	"endocrine cell"
"nephron progenitor cells"	"stem cell"
"pancreatic ductal cells"	"epithelial cell"
"retinal pigment epithelial cells"	"epithelial cell"
"cardiomyocytes"	"muscle cell"
"epidermal keratinocytes"	"epithelial cell"
"vascular endothelial cells"	"endothelial cell"
"ciliated cells"	"epithelial cell"
"pancreatic endocrine cells"	"endocrine cell"
"goblet cells"	"epithelial cell"
"myeloid cells"	"myeloid cell"
"lens epithelial cells"	"epithelial cell"
"trophoblasts"	"trophoblast"
"lymphoid tissue resident memory t cell"	"t/nk cell"
"epithelial cells"	"epithelial cell"
"b cells"	"B cell"
"basal cells"	"epithelial cell"
"t cells"	"t/nk cell"
"dendritic cells"	"myeloid cell"
"lymphatic endothelial cells"	"endothelial cell"
"osteoclasts"	"myeloid cell"
"nk cells"	"t/nk cell"
"plasma cells"	"B cell"
"alveolar type ii cells"	"epithelial cell"
"mast cells"	"myeloid cell"
"endothelial cells"	"endothelial cell"
"club cells"	"epithelial cell"
"mitotic cell"	"mitotic cell"
"clara cell"	"epithelial cell"
"megakaryocyte"	"megakaryocyte"
"pancreatic cell"	"epithelial cell"
"immune cell"	"immune cell"
"podocyte"	"epithelial cell"
"proximal tubule cell"	"epithelial cell"
"vascular smooth muscle cell"	"muscle cell"
"dendritic cells"	"immune cell"
"mast cells"	"immune cell"
"cd8+ t cells"	"t/nk cell"
"nk cells"	"t/nk cell"
"hematopoietic stem cells"	"stem cell"
"erythroid progenitors"	"erythroid cell"
"alveolar epithelial type ii cells"	"epithelial cell"
"club cells"	"epithelial cell"
"paneth cells"	"epithelial cell"
"t follicular helper cell"	"t/nk cell"
"lymphoid progenitor"	"progenitor cell"
"cardiac fibroblast"	"connective tissue cell"
"stellate cell"	"connective tissue cell"
"liver sinusoidal endothelial cell"	"endothelial cell"
"adrenal gland cell"	"endocrine cell"
"antigen-presenting cell"	"antigen-presenting cell"
"alveolar epithelial type ii"	"epithelial cell"
"thyroid follicular"	"epithelial cell"
"metallothionein-producing cell"	"specialized cell"
"intestinal epithelial cell"	"epithelial cell"
"ribosomal protein-producing cell"	"specialized cell"
"gastric parietal cell"	"epithelial cell"
"gastric mucous cell"	"epithelial cell"
"renal tubular epithelial cell"	"malignant cell"
"pancreatic ductal adenocarcinoma"	"specialized cell"
"pancreatic cell"	"secretory cell"
"salivary gland cell"	"unclassified cell"
"cl:0000066"	"neural cell"
"neural cell"	"reproductive cell"
"ovarian cell"	NA
"stem cell"	"stem cell"
"sperm cell"	"germ cell"
"pancreatic cell"	"epithelial cell"
"gastric epithelial cell"	"epithelial cell"
"mammary epithelial cell"	"epithelial cell"
"mesenchymal stem cell"	"stem cell"
"alveolar type ii pneumocyte"	"epithelial cell"
"ovarian granulosa cell"	"epithelial cell"
"trophoblast"	"epithelial cell"
"primordial germ cell"	"germ cell"
"early b cell"	"B cell"
"gastric parietal cell"	"epithelial cell"
"prolactin cell"	"epithelial cell"
"renal intercalated cell"	"epithelial cell"
"paneth cell"	"epithelial cell"
"esophageal squamous epithelial cell"	"epithelial cell"
"neuroendocrine cells"	"neuroendocrine cell"
"luminal cells"	"epithelial cell"
"prostatic stromal cells"	"stromal cell"
"immune cells"	"immune cell"
"smooth muscle cells"	"muscle cell"
"skeletal muscle cell"	"muscle cell"
"lymphocyte"	"t/nk cell"
"interstitial cell"	"stromal cell"
"squamous cell"	"epithelial cell"
"alveolar type ii pneumocyte"	"epithelial cell"
"myocyte (skeletal muscle)"	"muscle cell"
"myocyte (fast-twitch)"	"muscle cell"
"satellite cell (skeletal muscle)"	"muscle cell"
"endothelial cell (vascular)"	"endothelial cell"
"sebocyte"	"epithelial cell"
"stratified squamous epithelial cell"	"epithelial cell"
"goblet cells"	"epithelial cell"
"alveolar epithelial cell"	"malignant cell"
"cancer cell"	"myeloid cell"
"myeloid cells"	"neuronal cell"
"photoreceptors"	"epithelial cell"
"retinal pigment epithelium"	"glial cell"
"muller glia"	"epithelial cell"
"corneal epithelial cells"	NA
"melanocytes"	"melanocyte"
"natural killer cells"	"t/nk cell"
"myoblast"	"muscle cell"
"proximal tubule cells"	"epithelial cell"
"intestinal stem cell"	"stem cell"
"smooth muscle cells"	"muscle cell"
"cholangiocytes"	"epithelial cell"
"erythrocytes"	"blood cell"
"capillary endothelial cells"	"endothelial cell"
"monocytes"	"myeloid cell"
"basophil"	"granulocyte"
"unknown"	"unknown"
"mesothelial cell"	"epithelial cell"
"acinar cells"	"epithelial cell"
"ductal cells"	"epithelial cell"
"beta cells"	"endocrine cell"
"alpha cells"	"endocrine cell"
"stellate cells"	"stromal cell"
"stromal cells"	"stromal cell"
"myofibroblasts"	"stromal cell"
"b_cell"	"B cell"
"cd8_t_cell"	"T/NK cell"
"naive_cd4_t_cell"	"T/NK cell"
"proliferating_cell"	"Proliferating cell"
"cd4_t_cell"	"T/NK cell"
"t_regulatory_cell"	"T/NK cell"
"monocyte"	"Myeloid cell"
"dendritic_cell"	"Myeloid cell"
"dividing nk cells"	"T/NK cell"
"nkt cells"	"T/NK cell"
"hematopoietic stem and progenitor cells"	"Stem cell"
"gamma delta t cells"	"T/NK cell"
"platelets"	"Platelet"
"cytotoxic t cells"	"T/NK cell"
"alpha beta t cells"	"T/NK cell"
"oligodendrocyte precursor cell"	"Glial cell"
"interneuron"	"Neuron"
"biliary cell"	"Epithelial cell"
"pancreatic endocrine cell (pp cells)"	"Epithelial cell"
"pancreatic endocrine cell (delta cells)"	"Epithelial cell"
"pancreatic beta cell"	"endocrine cell"
"pancreatic alpha cell"	"endocrine cell"
"adrenal gland cell"	"endocrine cell"
"neuroendocrine cell"	"endocrine cell"
"renal cell"	"renal cell"
"epidermal keratinocyte"	"epithelial cell"
"alveolar epithelial type 2"	"epithelial cell"
"lymphatic endothelial cells"	"endothelial cell"
"mitotic cell"	"dividing cell"
"cancer cell"	"malignant cell"
"proximal tubule"	"renal cell"
"collecting duct"	"renal cell"
"thick ascending limb"	"renal cell"
"basement membrane"	"extracellular matrix"
"immune cells"	"immune cell"
"epithelial cells"	"epithelial cell"
"retinal pigment epithelium"	"epithelial cell"
"podocytes"	"renal cell"
"mesangial cells"	"renal cell"
"b-1 b cell"	"B cell"
"b-cell"	"B cell"
"thymocyte"	"T/NK cell"
"t-cell"	"T/NK cell"
"myeloid cell"	"Myeloid cell"
"alveolar epithelial type i cells"	"Epithelial cell"
"cycling cells"	"Cycling cell"
"natural killer cells"	"T/NK cell"
"pre-b cells"	"B cell"
"t_cell"	"T/NK cell"
"dendritic_cell"	"Myeloid cell"
"eosinophil"	"Myeloid cell"
"smooth_muscle_cell"	"Muscle cell"
"natural_killer_cell"	"T/NK cell"
"plasma_cell"	"B cell"
"mitotic_cell"	"Cycling cell"
"hepatic macrophage"	"Myeloid cell"
"adrenal_gland_cell"	"Epithelial cell"
"epithelial_cell"	"Epithelial cell"
"neural_progenitor_cell"	"Neural cell"
"ribosomal_protein_cell"	"Other cell"
"bile_acid_cell"	"epithelial cell"
"mitochondrial"	"other"
"ribosomal"	"other"
"ribosomal protein expressing cell"	"other"
"keratinocyte"	"epithelial cell"
"prostate epithelial cell"	"epithelial cell"
"spermatid"	"germ cell"
"paneth cell"	"epithelial cell"
"gastric enteroendocrine cell"	"epithelial cell"
"germ_cell"	"germ cell"
"intestinal_cell"	"epithelial cell"
"antigen_presenting_cell"	"immune cell"
"renal_tubule_cell"	"epithelial cell"
"alveolar_type_2_cell"	"epithelial cell"
"biliary_epithelial_cell"	"epithelial cell"
"steroidogenic_cell"	"other"
"cardiac_muscle_cell"	"muscle cell"
"ductal_epithelial_cell"	"epithelial cell"
"endothelial_cell"	"connective tissue cell"
"mesenchymal_stem_cell"	"connective tissue cell"
"osteoblast"	"connective tissue cell"
"smooth_muscle_cell"	"muscle cell"
"primordial germ cells"	"germ cell"
"pancreatic acinar cells"	"epithelial cell"
"steroidogenic cells"	"endocrine cell"
"enteroendocrine cells"	"epithelial cell"
"lactating mammary epithelial cell"	"epithelial cell"
"neural cell"	"neural cell"
"myoepithelial cell"	"epithelial cell"
"basal mammary epithelial cell"	"epithelial cell"
"immune cell"	"immune cell"
"alveolar type 2 cell"	"epithelial cell"
"transitional cells"	"epithelial cell"
"neuroendocrine cells"	"endocrine cell"
"secretory cells"	"epithelial cell"
"lymphocytes"	"immune cell"
"melanocyte"	"melanocyte"
"lactating cells"	"epithelial cell"
"gastrointestinal stromal cell"	"connective tissue cell"
"glandular cell"	"epithelial cell"
"alveolar epithelial type 2 (at2) cell"	"epithelial cell"
"prostate epithelial cell"	"epithelial cell"
"stratum corneum cell"	"epithelial cell"
"cytotoxic t cell"	"t/nk cell"
"regulatory t cell"	"t/nk cell"
"gamma delta t cell"	"t/nk cell"
"colon epithelial cells"	"epithelial cell"
"colon goblet cells"	"epithelial cell"
"colon cancer fibroblasts"	"stromal cell"
"colon macrophages"	"immune cell"
"natural_killer_cell"	"t/nk cell"
"mast_cell"	"immune cell"
"alveolar_type_ii_cell"	"epithelial cell"
"endothelial_cell"	"endothelial cell"
"mast_cell"	"immune cell"
"lymphatic_endothelial_cell"	"endothelial cell"
"granulocyte"	"immune cell"
"epithelial"	"epithelial cell"
"photoreceptor"	"neuronal cell"
"stromal"	"stromal cell"
"endothelial"	"endothelial cell"
"rpe"	"epithelial cell"
"corneal_epithelial"	"epithelial cell"
"nk_cell"	"t/nk cell"
"red blood cell"	"erythroid cell"
"retinal ganglion cell"	"neuronal cell"
"serous gland cell"	"epithelial cell"
"monocytes/macrophages"	"myeloid cell"
"t_regulatory"	"t/nk cell"
"colon_epithelial"	"epithelial cell"
"plasma_cells"	"B cell"
"t_cytotoxic"	"t/nk cell"
"colon_goblet"	"epithelial cell"
"colon_enterocyte"	"epithelial cell"
"b_cells"	"B cell"
"proliferating_cells"	"proliferating cell"
"mast_cells"	"myeloid cell"
"endothelial_cells"	"endothelial cell"
"enteroendocrine_cells"	"epithelial cell"
"dendritic_cells"	"myeloid cell"
"stem_cells"	"stem cell"
"alveolar type ii cells"	"epithelial cell"
"squamous cells"	"epithelial cell"
"lung endothelial cells"	"endothelial cell"
"lung club cells"	"epithelial cell"
"lung fibroblasts"	"fibroblast"
"lung clara cells"	"epithelial cell"
"lung macrophages"	"immune cell"
"myoepithelial_cell"	"epithelial cell"
"smooth muscle"	"muscle cell"
"skeletal muscle"	"muscle cell"
"cardiac muscle"	"muscle cell"
"red blood cell"	"red blood cell"
"mesothelial"	"epithelial cell"
"b cells (pre-b)"	"B cell"
"epsilon cells"	"endocrine cell"
"pp cells"	"endocrine cell"
"delta cells"	"endocrine cell"
"chief cells"	"epithelial cell"
"prostate epithelial cells"	"epithelial cell"
"prostate epithelial cells"	"epithelial cell"
"mucous gland cell"	"epithelial cell"
"t_cd8_tcell"	"t/nk cell"
"dendritic_cell"	"myeloid cell"
"t_regulatory_cell"	"t/nk cell"
"t_cd4_tcell"	"t/nk cell"
"mast_cell"	"myeloid cell"
"smooth_muscle_cell"	"muscle cell"
"endothelial_cell"	"endothelial cell"
"t_natural_killer_cell"	"t/nk cell"
"plasma_cell"	"B cell"
"langerhans_cell"	"myeloid cell"
"thymus_cells"	"lymphoid cell"
"enterocytes"	"epithelial cell"
"proliferating_cells"	"proliferating cell"
"goblet_cells"	"epithelial cell"
"cytotoxic_t_cells"	"t/nk cell"
"b_cells"	"B cell"
"cd8+ cytotoxic t cell"	"t/nk cell"
"naive cd4+ t cell"	"t/nk cell"
"proliferating cell"	"proliferating cell"
"memory cd4+ t cell"	"t/nk cell"
"cytotoxic cd4+ t cell"	"t/nk cell"
"activated cd8+ t cell"	"t/nk cell"
"cytotoxic cd8+ t cell"	"t/nk cell"
"dendritic cell"	"myeloid cell"
"conventional dendritic cell"	"myeloid cell"
"plasmablast"	"B cell"
"tcm/thm cells"	"t/nk cell"
"nkt-like cells"	"t/nk cell"
"motor"	"neuron"
"excitatory"	"neuron"
"glial"	"glial cell"
"inhibitory"	"neuron"
"neural crest cell"	"neural crest cell"
"pancreatic polypeptide producing cell"	"endocrine cell"
"delta cell"	"endocrine cell"
"exocrine pancreatic cell"	"exocrine cell"
"alpha cell"	"endocrine cell"
"steroid-producing cell"	"endocrine cell"
"renal cell"	"epithelial cell"
"cortical neuron"	"neuronal cell"
"retinal ganglion cell"	"neuronal cell"
"lymphoid progenitor cell"	"hematopoietic cell"
"cerebellar granule neuron"	"neuronal cell"
"retinal neuron"	"neuronal cell"
"pancreatic progenitor cells"	"progenitor cell"
"renal progenitor cells"	"progenitor cell"
"enterocyte progenitors"	"progenitor cell"
"retinal pigment epithelial cells"	"epithelial cell"
"keratinocytes"	"epithelial cell"
"amacrine cells"	"neuronal cell"
"enteroendocrine cells"	"epithelial cell"
"ciliated cells"	"epithelial cell"
"synoviocytes"	"connective tissue cell"
"chondrocytes"	"connective tissue cell"
"retinal bipolar cells"	"neuronal cell"
"pancreatic acinar cells"	"epithelial cell"
"epithelial"	"epithelial cell"
"immune"	"immune cell"
"b lymphocyte"	"B cell"
"t helper cell"	"T/NK cell"
"cilia and flagella assembly protein expressing cell"	"other"
"luminal extracellular matrix cell"	"connective tissue cell"
"type i pneumocyte"	"epithelial cell"
"t cytotoxic cell"	"T/NK cell"
"secretory cell"	"epithelial cell"
"progenitor cells"	"progenitor cell"
"mitotic cells"	"progenitor cell"
"secretory club cells"	"epithelial cell"
"mesenchymal stem cells"	"stem cell"
"platelet-producing megakaryocytes"	"megakaryocyte"
"biliary cells"	"epithelial cell"
"paneth cells"	"epithelial cell"
"proximal tubule"	"epithelial cell"
"distal convoluted tubule"	"epithelial cell"
"thick ascending limb"	"epithelial cell"
"principal cell"	"epithelial cell"
"cortical collecting duct"	"epithelial cell"
"transitional epithelial cell"	"epithelial cell"
"henle's loop"	"epithelial cell"
"treg cell"	"t/nk cell"
"th cell"	"t/nk cell"
"erythroid"	"erythroid cell"
"natural killer (nk) cell"	"t/nk cell"
"progenitor cell"	"progenitor cell"
"cd8 t cell"	"t/nk cell"
"prophase cells"	"cell cycle"
"th17 cell"	"t/nk cell"
"natural killer cells"	"t/nk cell"
"pre-b cells"	"B cell"
"myocardial cells"	"muscle cell"
"megakaryocytes"	"megakaryocyte"
"hepatic stellate cells"	"stromal cell"
"plasma_cell"	"B cell"
"adrenal_gland"	"glandular cell"
"epithelial_cell"	"epithelial cell"
"neural_progenitor_cell"	"progenitor cell"
"ribosomal_protein"	"ribosomal protein"
"liver"	"organ"
"antigen_presentation"	"immune cell"
"enteroendocrine cell"	"epithelial cell"
"mitochondrial protein producing cell"	"other"
"b lymphocyte"	"B cell"
"intestinal absorptive cell"	"epithelial cell"
"ribosomal protein producing cell"	"other"
"pancreatic exocrine cell"	"epithelial cell"
"goblet cell"	"epithelial cell"
"vacuolar atpase producing cell"	"other"
"biliary epithelial cell"	"epithelial cell"
"testicular germ cell"	"germ cell"
"erythroid progenitor"	"erythroid cell"
"intestinal secretory cell"	"epithelial cell"
"neural stem cell"	"stem cell"
"spermatocyte"	"germ cell"
"enterocyte"	"epithelial cell"
"mhc class ii expressing cell"	"immune cell"
"erythroblast"	"erythroid cell"
"alveolar epithelial cell"	"epithelial cell"
"liver cell"	"liver cell"
"basal cell"	"epithelial cell"
"placental trophoblast"	"placental cell"
"adrenal gland cell"	"endocrine cell"
"renal tubular cell"	"epithelial cell"
"pluripotent stem cell"	"stem cell"
"granulosa cell"	"stromal cell"
"parietal cell"	"epithelial cell"
"enteroendocrine cell"	"epithelial cell"
"chromaffin cell"	"endocrine cell"
"milk protein secreting cell"	"secretory cell"
"prostate cell"	"epithelial cell"
"type ii alveolar cell"	"epithelial cell"
"basal"	"epithelial cell"
"secretory"	"epithelial cell"
"immune"	"epithelial cell"
"smooth muscle"	"immune cell"
"neuronal"	"muscle cell"
"immature dendritic cell"	"neuronal cell"
"luminal epithelial cell"	"immune cell"
"basal myoepithelial cell"	"epithelial cell"
"naive b cell"	"B cell"
"mucous gland cell"	"epithelial cell"
"dendritic"	"dendritic cell"
"ciliated"	"epithelial cell"
"lymphatic endothelial"	"endothelial cell"
"mast"	"mast cell"
"naive b cell"	"B cell"
"basal epithelial cell"	"epithelial cell"
"vascular smooth muscle cell"	"muscle cell"
"naive t cell"	"T/NK cell"
"skeletal muscle fiber"	"muscle cell"
"satellite cell"	"muscle cell"
"gamma delta t cell"	"T/NK cell"
"helper t cell"	"T/NK cell"
