"id"	"dataset"	"tissue"	"marker"	"manual_anno"	"manual_broadtype"	"old_manual_CLname"	"old_manual_CLID"	"marker_0"	"celltype_0_anno"	"celltype_0_CLID"	"celltype_0_CLname"	"marker_0.2"	"celltype_0.2_anno"	"celltype_0.2_CLID"	"celltype_0.2_CLname"	"marker_0.4"	"celltype_0.4_anno"	"celltype_0.4_CLID"	"celltype_0.4_CLname"	"marker_0.6"	"celltype_0.6_anno"	"celltype_0.6_CLID"	"celltype_0.6_CLname"	"marker_0.8"	"celltype_0.8_anno"	"celltype_0.8_CLID"	"celltype_0.8_CLname"	"celltype_0_broadtype"	"celltype_0_score"	"celltype_0.2_broadtype"	"celltype_0.2_score"	"celltype_0.4_broadtype"	"celltype_0.4_score"	"celltype_0.6_broadtype"	"celltype_0.6_score"	"celltype_0.8_broadtype"	"celltype_0.8_score"	"marker_1"	"celltype_1_anno"	"celltype_1_CLID"	"celltype_1_CLname"	"celltype_1_broadtype"	"celltype_1_score"
97	"Azimuth"	"Fetal Development"	"NRXN3, RORB, CNTN4, ONECUT1, TNR, MEGF10, MEGF11, ONECUT2, CACNG3, TFAP2B"	"Horizontal cells"	"neuronal cell"	"retina horizontal cell"	"CL:0000745"	"NRXN3, RORB, CNTN4, ONECUT1, TNR, MEGF10, MEGF11, ONECUT2, CACNG3, TFAP2B"	"Neurons"	"CL:0008039"	"lower motor neuron"	"NRXN3, RORB, CNTN4, ONECUT1, TNR, MEGF10, MEGF11, ONECUT2, CACNG3, TFAP2B,ENSG00000276204,ENSG00000271150"	"Neurons"	"CL:0008039"	"lower motor neuron"	"NRXN3, RORB, CNTN4, ONECUT1, TNR, MEGF10, MEGF11, ONECUT2, CACNG3, TFAP2B,ENSG00000273077,ENSG00000274276,ENSG00000307863,ENSG00000226587"	"Neurons"	"CL:0008039"	"lower motor neuron"	"NRXN3, RORB, CNTN4, ONECUT1, TNR, MEGF10, MEGF11, ONECUT2, CACNG3, TFAP2B,STX2,ENSG00000297709,ENSG00000289713,BTN2A3P,ENSG00000286872,MIR548AJ2"	"Neurons"	"CL:0008039"	"lower motor neuron"	"NRXN3, RORB, CNTN4, ONECUT1, TNR, MEGF10, MEGF11, ONECUT2, CACNG3, TFAP2B,RPL21P95,CCNB1,ENSG00000303783,PRELID1P5,ENSG00000302057,SMIM10L2B-AS1,ENSG00000218631,MARCHF10-DT"	""	NA	NA	"neuronal cell"	0.5	"neuronal cell"	0.5	"neuronal cell"	0.5	"neuronal cell"	0.5	NA	0	"NRXN3, RORB, CNTN4, ONECUT1, TNR, MEGF10, MEGF11, ONECUT2, CACNG3, TFAP2B,ENSG00000286605,SOX2,ENSG00000224269,ENSG00000236159,PTGR3,LIF-AS2,ENSG00000286538,ENSG00000237280,SIMC1,ENSG00000297189"	"Neurons"	"CL:0008039"	"lower motor neuron"	"neuronal cell"	0.5
98	"Azimuth"	"Fetal Development"	"NRXN3, CCSER1, CTNNA2, RBFOX1, LRRC7, MYT1L, GRIN2B, GRM5, RP11-85M11.2, MIR137HG"	"Inhibitory neurons"	"Neuron"	NA	NA	"NRXN3, CCSER1, CTNNA2, RBFOX1, LRRC7, MYT1L, GRIN2B, GRM5, RP11-85M11.2, MIR137HG"	"Neurons"	"CL:0008039"	"lower motor neuron"	"NRXN3, CCSER1, CTNNA2, RBFOX1, LRRC7, MYT1L, GRIN2B, GRM5, RP11-85M11.2, MIR137HG,ENSG00000271766,NGDN"	"Neurons"	"CL:0008039"	"lower motor neuron"	"NRXN3, CCSER1, CTNNA2, RBFOX1, LRRC7, MYT1L, GRIN2B, GRM5, RP11-85M11.2, MIR137HG,IMP3P2,BRCC3,ENSG00000279014,RNU6-461P"	"Neurons"	"CL:0008039"	"lower motor neuron"	"NRXN3, CCSER1, CTNNA2, RBFOX1, LRRC7, MYT1L, GRIN2B, GRM5, RP11-85M11.2, MIR137HG,ENSG00000300377,ENSG00000306588,ENSG00000305400,ENSG00000307876,RTN2,SNORA63B"	"Neurons"	"CL:0008039"	"lower motor neuron"	"NRXN3, CCSER1, CTNNA2, RBFOX1, LRRC7, MYT1L, GRIN2B, GRM5, RP11-85M11.2, MIR137HG,RN7SKP139,TNRC6B,NHP2P2,MIR199A2,TRAV18,ENSG00000258271,ENSG00000297122,MIR7846"	""	NA	NA	"neuronal cell"	1	"neuronal cell"	1	"neuronal cell"	1	"neuronal cell"	1	NA	0	"NRXN3, CCSER1, CTNNA2, RBFOX1, LRRC7, MYT1L, GRIN2B, GRM5, RP11-85M11.2, MIR137HG,COPS8P2,ENSG00000230021,VDAC1P13,RNU6-1102P,ENSG00000306689,KCNQ3,PLA2G10CP,MRM3,VN1R96P,GML"	"Neurons"	"CL:0008039"	"lower motor neuron"	"neuronal cell"	1
99	"Azimuth"	"Fetal Development"	"MPZ, OLFML2A, PLP1, CDH19, SOX10, FOXD3, S100B, INSC, ABCA8, NGFR"	"Schwann cells"	"glial cells"	"Schwann cell"	"CL:0002573"	"MPZ, OLFML2A, PLP1, CDH19, SOX10, FOXD3, S100B, INSC, ABCA8, NGFR"	"Schwann cells"	"CL:0002573"	"Schwann cell"	"MPZ, OLFML2A, PLP1, CDH19, SOX10, FOXD3, S100B, INSC, ABCA8, NGFR,ENSG00000305739,POTEF-AS1"	"Schwann cells"	"CL:0002573"	"Schwann cell"	"MPZ, OLFML2A, PLP1, CDH19, SOX10, FOXD3, S100B, INSC, ABCA8, NGFR,ENSG00000303864,KRT8P32,ENSG00000291130,MIR6724-3"	"Schwann cells"	"CL:0002573"	"Schwann cell"	"MPZ, OLFML2A, PLP1, CDH19, SOX10, FOXD3, S100B, INSC, ABCA8, NGFR,ENSG00000219298,SLC30A3,ENSG00000297815,MIR7155,ENSG00000299659,PLEC"	"Schwann cells"	"CL:0002573"	"Schwann cell"	"MPZ, OLFML2A, PLP1, CDH19, SOX10, FOXD3, S100B, INSC, ABCA8, NGFR,MIR6821,ENSG00000298148,ENSG00000267546,RPSAP74,IGFBP3,U3,P3R3URF-PIK3R3,RN7SL822P"	""	NA	NA	"glial cell"	1	"glial cell"	1	"glial cell"	1	"glial cell"	1	NA	0	"MPZ, OLFML2A, PLP1, CDH19, SOX10, FOXD3, S100B, INSC, ABCA8, NGFR,ENSG00000225122,ENSG00000307669,ENSG00000298574,ENSG00000262079,ENSG00000267617,ALDH3B1,GET1P1,PNP,LINC02256,ENSG00000279207"	"Schwann cells"	"CL:0002573"	"Schwann cell"	"glial cell"	1
100	"Azimuth"	"Fetal Development"	"CHGA, PCSK1N, GNAS, ERO1LB, CPE, INS, CADPS, TTR, MEIS2, MAFB"	"Islet endocrine cells"	"endocrine cell"	NA	NA	"CHGA, PCSK1N, GNAS, ERO1LB, CPE, INS, CADPS, TTR, MEIS2, MAFB"	"Endocrine cells"	"CL:0000163"	"endocrine cell"	"CHGA, PCSK1N, GNAS, ERO1LB, CPE, INS, CADPS, TTR, MEIS2, MAFB,TMEM31,LINC00989"	"Endocrine cells"	"CL:0000163"	"endocrine cell"	"CHGA, PCSK1N, GNAS, ERO1LB, CPE, INS, CADPS, TTR, MEIS2, MAFB,Metazoa_SRP,ENSG00000218426,PABPC1P4,FRY-AS1"	"Endocrine cells"	"CL:0000163"	"endocrine cell"	"CHGA, PCSK1N, GNAS, ERO1LB, CPE, INS, CADPS, TTR, MEIS2, MAFB,ENSG00000301910,AURKC,SNORD124,ENSG00000260472,PUS3,ENSG00000298931"	"Endocrine cells"	"CL:0000163"	"endocrine cell"	"CHGA, PCSK1N, GNAS, ERO1LB, CPE, INS, CADPS, TTR, MEIS2, MAFB,ENSG00000298248,Y_RNA,ENSG00000295426,PASD1,ENSG00000306491,ENSG00000269191,ENSG00000291283,ENSG00000253430"	""	NA	NA	"endocrine cell"	1	"endocrine cell"	1	"endocrine cell"	1	"endocrine cell"	1	NA	0	"CHGA, PCSK1N, GNAS, ERO1LB, CPE, INS, CADPS, TTR, MEIS2, MAFB,Y_RNA,RPSAP11,C2CD3,ENSG00000248347,RRAS,ENSG00000294700,IRX2,EIF4A1P2,RNU1-132P,MIR302D"	"Endocrine cells"	"CL:0000163"	"endocrine cell"	"endocrine cell"	1
101	"Azimuth"	"Fetal Development"	"NRXN3, MEIS2, CADM2, ZNF385D, RORB, DCC, SYT1, DSCAM, MIR181A1HG, RP11-689K5.3"	"Amacrine cells"	"neuron"	"amacrine cell"	"CL:0000561"	"NRXN3, MEIS2, CADM2, ZNF385D, RORB, DCC, SYT1, DSCAM, MIR181A1HG, RP11-689K5.3"	"Neurons"	"CL:0008039"	"lower motor neuron"	"NRXN3, MEIS2, CADM2, ZNF385D, RORB, DCC, SYT1, DSCAM, MIR181A1HG, RP11-689K5.3,CPVL-AS1,ENSG00000285770"	"Neurons"	"CL:0008039"	"lower motor neuron"	"NRXN3, MEIS2, CADM2, ZNF385D, RORB, DCC, SYT1, DSCAM, MIR181A1HG, RP11-689K5.3,ENSG00000289140,ENSG00000252291,ENSG00000302919,CNDP2"	"Neurons"	"CL:0008039"	"lower motor neuron"	"NRXN3, MEIS2, CADM2, ZNF385D, RORB, DCC, SYT1, DSCAM, MIR181A1HG, RP11-689K5.3,ENSG00000305712,ZMYM3,ENSG00000307359,ENSG00000302337,Y_RNA,ENSG00000256947"	"Neurons"	"CL:0008039"	"lower motor neuron"	"NRXN3, MEIS2, CADM2, ZNF385D, RORB, DCC, SYT1, DSCAM, MIR181A1HG, RP11-689K5.3,UFSP1,PABPN1,RPL31P5,RNU6-360P,RNA5SP367,CHKB-DT,CEACAMP4,KPNA4P1"	""	NA	NA	"neuronal cell"	0.5	"neuronal cell"	0.5	"neuronal cell"	0.5	"neuronal cell"	0.5	NA	0	"NRXN3, MEIS2, CADM2, ZNF385D, RORB, DCC, SYT1, DSCAM, MIR181A1HG, RP11-689K5.3,TMPO,KAAG1,UBE2E3,AIMP1P2,RGS13,ENSG00000279022,LINC02946,ENSG00000276623,MIR378I,ENSG00000254238"	"Neurons"	"CL:0008039"	"lower motor neuron"	"neuronal cell"	0.5
102	"Azimuth"	"Fetal Development"	"ERBB4, NRXN1, LRP1B, NLGN1, LPHN3, CCSER1, PCDH9, UNC5C, STXBP5L, GRIA2"	"Unipolar brush cells"	"neural cell"	"unipolar brush cell"	"CL:4023161"	"ERBB4, NRXN1, LRP1B, NLGN1, LPHN3, CCSER1, PCDH9, UNC5C, STXBP5L, GRIA2"	"Neurons"	"CL:0008039"	"lower motor neuron"	"ERBB4, NRXN1, LRP1B, NLGN1, LPHN3, CCSER1, PCDH9, UNC5C, STXBP5L, GRIA2,RHBDL1,RN7SL25P"	"Neurons"	"CL:0008039"	"lower motor neuron"	"ERBB4, NRXN1, LRP1B, NLGN1, LPHN3, CCSER1, PCDH9, UNC5C, STXBP5L, GRIA2,ENSG00000264937,MIR6790,ENSG00000299552,SAA2"	"Neurons"	"CL:0008039"	"lower motor neuron"	"ERBB4, NRXN1, LRP1B, NLGN1, LPHN3, CCSER1, PCDH9, UNC5C, STXBP5L, GRIA2,Y_RNA,ENSG00000294662,ENSG00000242104,Y_RNA,ASS1P5,ENSG00000257586"	"Neurons"	"CL:0008039"	"lower motor neuron"	"ERBB4, NRXN1, LRP1B, NLGN1, LPHN3, CCSER1, PCDH9, UNC5C, STXBP5L, GRIA2,ENSG00000294671,CHRNA3,ENSG00000233037,ANKRD36B,ENSG00000300908,ENSG00000309841,LCN6,C22orf15"	""	NA	NA	"neuronal cell"	0.5	"neuronal cell"	0.5	"neuronal cell"	0.5	"neuronal cell"	0.5	NA	0	"ERBB4, NRXN1, LRP1B, NLGN1, LPHN3, CCSER1, PCDH9, UNC5C, STXBP5L, GRIA2,ENSG00000287590,RNU2-50P,MIR3617,ENSG00000307957,PMS2P11,ENSG00000300717,ENSG00000287704,ENSG00000296829,ENSG00000270953,ENSG00000302395"	"Neurons"	"CL:0008039"	"lower motor neuron"	"neuronal cell"	0.5
103	"Azimuth"	"Fetal Development"	"CEL, SPINK1, CPA1, CTRB2, CLPS, SYCN, CPA2, GP2, CTRB1, DLK1"	"Acinar cells"	"Epithelial cell"	"acinar cell"	"CL:0000622"	"CEL, SPINK1, CPA1, CTRB2, CLPS, SYCN, CPA2, GP2, CTRB1, DLK1"	"pancreatic acinar cell"	"CL:0002064"	"pancreatic acinar cell"	"CEL, SPINK1, CPA1, CTRB2, CLPS, SYCN, CPA2, GP2, CTRB1, DLK1,ENSG00000304403,FOXI3"	"Pancreatic acinar cells"	"CL:0002064"	"pancreatic acinar cell"	"CEL, SPINK1, CPA1, CTRB2, CLPS, SYCN, CPA2, GP2, CTRB1, DLK1,ENSG00000294677,ENSG00000289835,FAM210CP,ENSG00000252920"	"Pancreatic acinar cells"	"CL:0002064"	"pancreatic acinar cell"	"CEL, SPINK1, CPA1, CTRB2, CLPS, SYCN, CPA2, GP2, CTRB1, DLK1,ENSG00000303284,ENSG00000294077,ENSG00000254988,ENSG00000307857,Y_RNA,SRP14"	"Pancreatic acinar cells"	"CL:0002064"	"pancreatic acinar cell"	"CEL, SPINK1, CPA1, CTRB2, CLPS, SYCN, CPA2, GP2, CTRB1, DLK1,KCNJ4,PHB1P8,PPIHP1,ENSG00000272498,SNHG17,ENSG00000275654,RN7SL188P,ENSG00000295106"	"pancreatic acinar cells"	"CL:0002064"	"pancreatic acinar cell"	"exocrine cell"	1	"epithelial cell"	1	"epithelial cell"	1	"epithelial cell"	1	"epithelial cell"	1	"CEL, SPINK1, CPA1, CTRB2, CLPS, SYCN, CPA2, GP2, CTRB1, DLK1,ENSG00000277840,ENSG00000269179,ENSG00000300666,CD79B,FAM171B,ENSG00000304175,ENSG00000298712,LINC01419,ENSG00000261588,ACOT6"	"Pancreatic acinar cells"	"CL:0002064"	"pancreatic acinar cell"	"epithelial cell"	1
104	"Azimuth"	"Fetal Development"	"DACH1, PAX2, EYA1, HMGA2, GPC3, TRABD2B, ITGA8, PTPN14, WT1, BMPER"	"Metanephric cells"	"progenitor cell"	NA	NA	"DACH1, PAX2, EYA1, HMGA2, GPC3, TRABD2B, ITGA8, PTPN14, WT1, BMPER"	"nephron progenitor cell"	"CL:0011026"	"progenitor cell"	"DACH1, PAX2, EYA1, HMGA2, GPC3, TRABD2B, ITGA8, PTPN14, WT1, BMPER,ENSG00000293741,ENSG00000275343"	"Nephron progenitor cells"	"CL:0011026"	"progenitor cell"	"DACH1, PAX2, EYA1, HMGA2, GPC3, TRABD2B, ITGA8, PTPN14, WT1, BMPER,NOTO,RNA5SP359,GZF1,ENSG00000305317"	"Nephron progenitor cells"	"CL:0011026"	"progenitor cell"	"DACH1, PAX2, EYA1, HMGA2, GPC3, TRABD2B, ITGA8, PTPN14, WT1, BMPER,ENSG00000290354,MIR1972-1,ENSG00000291267,ENSG00000296194,RIMKLBP2,ENSG00000280073"	"Metanephric mesenchyme"	"CL:0000324"	"metanephric mesenchyme stem cell"	"DACH1, PAX2, EYA1, HMGA2, GPC3, TRABD2B, ITGA8, PTPN14, WT1, BMPER,BRIX1P1,SOCS5P1,ENSG00000258666,ENSG00000262529,MXD3,RN7SL831P,ATRX,RPS2P18"	"nephron progenitor cells"	"CL:0011026"	"progenitor cell"	"progenitor cell"	0.5	"stem cell"	0	"stem cell"	0	"glial cell"	1	"stem cell"	0	"DACH1, PAX2, EYA1, HMGA2, GPC3, TRABD2B, ITGA8, PTPN14, WT1, BMPER,RNF135,ENSG00000303550,ENSG00000300341,POMC,ENSG00000283078,ENSG00000267879,LINC00887,CFAP57,ENSG00000275567,HMGN2P20"	"Metanephric mesenchyme"	"CL:0000324"	"metanephric mesenchyme stem cell"	"glial cell"	1
105	"Azimuth"	"Fetal Development"	"IGF2, SLC4A4, DLK1, ATP1B1, CFTR, FXYD2, JUN, CLU, SPINK1, H3F3B"	"Ductal cells"	"epithelial cell"	"pancreatic ductal cell"	"CL:0002079"	"IGF2, SLC4A4, DLK1, ATP1B1, CFTR, FXYD2, JUN, CLU, SPINK1, H3F3B"	"pancreatic ductal cell"	"CL:0002079"	"pancreatic ductal cell"	"IGF2, SLC4A4, DLK1, ATP1B1, CFTR, FXYD2, JUN, CLU, SPINK1, H3F3B,ENSG00000279368,ENSG00000303990"	"Pancreatic ductal cells"	"CL:0002079"	"pancreatic ductal cell"	"IGF2, SLC4A4, DLK1, ATP1B1, CFTR, FXYD2, JUN, CLU, SPINK1, H3F3B,RN7SL431P,ENSG00000268279,ENSG00000308222,RNA5SP196"	"Pancreatic ductal cells"	"CL:0002079"	"pancreatic ductal cell"	"IGF2, SLC4A4, DLK1, ATP1B1, CFTR, FXYD2, JUN, CLU, SPINK1, H3F3B,ZNF709,ENSG00000293694,SMIM34,ENSG00000309270,NRDC,RNU6-273P"	"Pancreatic ductal cells"	"CL:0002079"	"pancreatic ductal cell"	"IGF2, SLC4A4, DLK1, ATP1B1, CFTR, FXYD2, JUN, CLU, SPINK1, H3F3B,EEF1DP1,ENSG00000299096,NOP16,ENO1P3,ENSG00000286059,LINC01572,RNU6-560P,CRP"	"pancreatic ductal cells"	"CL:0002079"	"pancreatic ductal cell"	"epithelial cell"	1	"epithelial cell"	1	"epithelial cell"	1	"epithelial cell"	1	"epithelial cell"	1	"IGF2, SLC4A4, DLK1, ATP1B1, CFTR, FXYD2, JUN, CLU, SPINK1, H3F3B,ENSG00000253238,NUTF2P4,MIR4481,ENSG00000281808,RNU6-151P,ENSG00000295562,SPANXN2,ENSG00000273080,TRIM47,TRAJ28"	"Pancreatic ductal cells"	"CL:0002079"	"pancreatic ductal cell"	"epithelial cell"	1
106	"Azimuth"	"Fetal Development"	"TRPM1, TYR, COL8A1, SLC38A11, LINC00276, BEST1, RP11-690J15.1, RPE65, TYRP1, PMEL"	"Retinal pigment cells"	"epithelial cell"	"retinal pigment epithelial cell"	"CL:0002586"	"TRPM1, TYR, COL8A1, SLC38A11, LINC00276, BEST1, RP11-690J15.1, RPE65, TYRP1, PMEL"	"retinal pigment epithelium"	"CL:0002586"	"retinal pigment epithelial cell"	"TRPM1, TYR, COL8A1, SLC38A11, LINC00276, BEST1, RP11-690J15.1, RPE65, TYRP1, PMEL,ADI1P3,BTN3A1"	"Retinal pigment epithelium"	"CL:0002586"	"retinal pigment epithelial cell"	"TRPM1, TYR, COL8A1, SLC38A11, LINC00276, BEST1, RP11-690J15.1, RPE65, TYRP1, PMEL,MTMR6,ENSG00000261327,CLUHP11,ENSG00000307458"	"Retinal pigment epithelium"	"CL:0002586"	"retinal pigment epithelial cell"	"TRPM1, TYR, COL8A1, SLC38A11, LINC00276, BEST1, RP11-690J15.1, RPE65, TYRP1, PMEL,BMP5,ENSG00000260004,ENSG00000284694,CYRIB,SPATS2,ENSG00000284684"	"Retinal pigment epithelium"	"CL:0002586"	"retinal pigment epithelial cell"	"TRPM1, TYR, COL8A1, SLC38A11, LINC00276, BEST1, RP11-690J15.1, RPE65, TYRP1, PMEL,RPL9P16,ENSG00000294852,CRPPA-AS1,RPS12P18,EBF2,ENSG00000287107,PAIP2B,SRPRB"	"retinal pigment epithelium"	"CL:0002586"	"retinal pigment epithelial cell"	"glial cell"	1	"glial cell"	1	"glial cell"	1	"glial cell"	1	"glial cell"	1	"TRPM1, TYR, COL8A1, SLC38A11, LINC00276, BEST1, RP11-690J15.1, RPE65, TYRP1, PMEL,VAT1,ENSG00000249848,CDH26,ALX1,CCND3P2,ENSG00000270516,ENSG00000270990,NPM1P1,CYP4F30P,PHTF1"	"Retinal pigment epithelium"	"CL:0002586"	"retinal pigment epithelial cell"	"glial cell"	1
107	"Azimuth"	"Fetal Development"	"TTN, MYL7, TNNT2, TPM1, ACTC1, SLC8A1, TNNC1, MYL4, MYH7, TNNI1"	"Cardiomyocytes"	"muscle cell"	"cardiac muscle cell"	"CL:0000746"	"TTN, MYL7, TNNT2, TPM1, ACTC1, SLC8A1, TNNC1, MYL4, MYH7, TNNI1"	"cardiomyocyte"	"CL:0002495"	"fetal cardiomyocyte"	"TTN, MYL7, TNNT2, TPM1, ACTC1, SLC8A1, TNNC1, MYL4, MYH7, TNNI1,ENSG00000300847,Y_RNA"	"Cardiomyocytes"	"CL:2000046"	"ventricular cardiac muscle cell"	"TTN, MYL7, TNNT2, TPM1, ACTC1, SLC8A1, TNNC1, MYL4, MYH7, TNNI1,MIR4726,ENSG00000297103,ENSG00000301028,ENSG00000233457"	"Cardiomyocytes"	"CL:2000046"	"ventricular cardiac muscle cell"	"TTN, MYL7, TNNT2, TPM1, ACTC1, SLC8A1, TNNC1, MYL4, MYH7, TNNI1,ENSG00000295937,IGHV4-34,MARK2P12,ENSG00000267446,ENSG00000309659,UPK2"	"Cardiomyocytes"	"CL:2000046"	"ventricular cardiac muscle cell"	"TTN, MYL7, TNNT2, TPM1, ACTC1, SLC8A1, TNNC1, MYL4, MYH7, TNNI1,RHBDD1,ENSG00000285254,MRPL39,LINC03022,ENSG00000289253,RNA5SP158,ENSG00000219453,SNORD39"	"cardiomyocytes"	"CL:2000046"	"ventricular cardiac muscle cell"	"muscle cell"	1	"muscle cell"	1	"muscle cell"	1	"muscle cell"	1	"muscle cell"	1	"TTN, MYL7, TNNT2, TPM1, ACTC1, SLC8A1, TNNC1, MYL4, MYH7, TNNI1,ENSG00000260583,ENSG00000285018,RNU7-194P,PRKXP1,ANKRD33B-AS1,HMGB3P5,MOGAT1,CC2D2A,RN7SKP227,PHGDH"	"Cardiomyocytes"	"CL:2000046"	"ventricular cardiac muscle cell"	"muscle cell"	1
108	"Azimuth"	"Fetal Development"	"KRT19, KRT13, RAB11FIP1, ANXA1, S100A6, DSP, ELF3, PITX1, AQP3, KRT5"	"Squamous epithelial cells"	"Epithelial cell"	"squamous epithelial cell"	"CL:0000076"	"KRT19, KRT13, RAB11FIP1, ANXA1, S100A6, DSP, ELF3, PITX1, AQP3, KRT5"	"epithelial cell"	"CL:0000066"	"epithelial cell"	"KRT19, KRT13, RAB11FIP1, ANXA1, S100A6, DSP, ELF3, PITX1, AQP3, KRT5,LINC01518,AGO1"	"Epithelial cells"	"CL:1001573"	"nasopharyngeal epithelial cell"	"KRT19, KRT13, RAB11FIP1, ANXA1, S100A6, DSP, ELF3, PITX1, AQP3, KRT5,ENSG00000307300,ENSG00000302711,ENSG00000303278,TAAR9"	"Epithelial cells"	"CL:1001573"	"nasopharyngeal epithelial cell"	"KRT19, KRT13, RAB11FIP1, ANXA1, S100A6, DSP, ELF3, PITX1, AQP3, KRT5,Y_RNA,ARRB1,ENSG00000288691,VMO1,ENSG00000303949,MT2P1"	"Epithelial cells"	"CL:1001573"	"nasopharyngeal epithelial cell"	"KRT19, KRT13, RAB11FIP1, ANXA1, S100A6, DSP, ELF3, PITX1, AQP3, KRT5,REXO1L10P,ENSG00000300823,RHEBP2,ENSG00000219928,IGHV5-10-1,ENSG00000308124,PDCD5P1,ENSG00000274655"	"epithelial cells"	"CL:1001573"	"nasopharyngeal epithelial cell"	"epithelial cell"	1	"epithelial cell"	1	"epithelial cell"	1	"epithelial cell"	1	"epithelial cell"	1	"KRT19, KRT13, RAB11FIP1, ANXA1, S100A6, DSP, ELF3, PITX1, AQP3, KRT5,LINC00944,ENSG00000309584,ENSG00000258707,ENSG00000265833,RN7SKP227,ENSG00000301375,ENSG00000266997,LGMN,ENSG00000236274,Y_RNA"	"Epithelial cells"	"CL:1001573"	"nasopharyngeal epithelial cell"	"epithelial cell"	1
109	"Azimuth"	"Fetal Development"	"CLDN18, SPINK1, RAB11FIP1, AGR2, MUC6, LYZ, ELF3, GPRC5A, PPARG, PIK3C2G"	"Goblet cells"	"epithelial cell"	"goblet cell"	"CL:0000160"	"CLDN18, SPINK1, RAB11FIP1, AGR2, MUC6, LYZ, ELF3, GPRC5A, PPARG, PIK3C2G"	"gastric epithelial cell"	"CL:0000066"	"epithelial cell"	"CLDN18, SPINK1, RAB11FIP1, AGR2, MUC6, LYZ, ELF3, GPRC5A, PPARG, PIK3C2G,ENSG00000304767,RNU6-1061P"	"Pancreatic ductal cells"	"CL:0002079"	"pancreatic ductal cell"	"CLDN18, SPINK1, RAB11FIP1, AGR2, MUC6, LYZ, ELF3, GPRC5A, PPARG, PIK3C2G,ENSG00000251446,UGT1A9,PLEKHA4,ENSG00000301234"	"Gastric epithelial cells"	"CL:1001573"	"nasopharyngeal epithelial cell"	"CLDN18, SPINK1, RAB11FIP1, AGR2, MUC6, LYZ, ELF3, GPRC5A, PPARG, PIK3C2G,C2orf15,ENSG00000300443,ENSG00000305634,ENSG00000301820,MIR6872,NAMPT-AS1"	"Gastric epithelial cells"	"CL:1001573"	"nasopharyngeal epithelial cell"	"CLDN18, SPINK1, RAB11FIP1, AGR2, MUC6, LYZ, ELF3, GPRC5A, PPARG, PIK3C2G,CCDC88C-DT,ENSG00000289337,RPL7AP30,ENSG00000287568,DEFB136,ENSG00000253104,FDCSP,ENSG00000290643"	"pancreatic ductal cells"	"CL:0002079"	"pancreatic ductal cell"	"epithelial cell"	0.5	"epithelial cell"	0.5	"epithelial cell"	0.5	"epithelial cell"	0.5	"epithelial cell"	0.5	"CLDN18, SPINK1, RAB11FIP1, AGR2, MUC6, LYZ, ELF3, GPRC5A, PPARG, PIK3C2G,ENSG00000299279,ENSG00000288839,ENSG00000308759,ENSG00000225384,ENSG00000228010,SETP16,MFF-DT,PFKFB3,ENSG00000303242,LINC00987"	"Gastric epithelial cells"	"CL:1001573"	"nasopharyngeal epithelial cell"	"epithelial cell"	0.5
110	"Azimuth"	"Fetal Development"	"FN1, FLT1, ISM2, NOTUM, PAPPA2, PRG2, ADAM12, FSTL3, QSOX1, SERPINE2"	"Extravillous trophoblasts"	"Epithelial cell"	"extravillous trophoblast"	"CL:0008036"	"FN1, FLT1, ISM2, NOTUM, PAPPA2, PRG2, ADAM12, FSTL3, QSOX1, SERPINE2"	"placental trophoblast"	"CL:2000060"	"placental villous trophoblast"	"FN1, FLT1, ISM2, NOTUM, PAPPA2, PRG2, ADAM12, FSTL3, QSOX1, SERPINE2,MTCO1P31,AQP4-AS1"	"Placental cells"	"CL:2000078"	"placental pericyte"	"FN1, FLT1, ISM2, NOTUM, PAPPA2, PRG2, ADAM12, FSTL3, QSOX1, SERPINE2,ENSG00000257124,PHOSPHO1,ENSG00000303343,ENSG00000280381"	"Placental cells"	"CL:2000078"	"placental pericyte"	"FN1, FLT1, ISM2, NOTUM, PAPPA2, PRG2, ADAM12, FSTL3, QSOX1, SERPINE2,ENSG00000303681,HOXD8,ENSG00000277577,ENSG00000280486,ENSG00000241917,ENSG00000290146"	"Placental cells"	"CL:2000078"	"placental pericyte"	"FN1, FLT1, ISM2, NOTUM, PAPPA2, PRG2, ADAM12, FSTL3, QSOX1, SERPINE2,Y_RNA,OR2AO1P,ENSG00000294855,CYLD,MEOX2,ENSG00000300664,ENSG00000302201,RBAK"	"mesenchymal cells"	"CL:0000134"	"mesenchymal stem cell"	"epithelial cell"	1	"placental cell"	0	"placental cell"	0	"placental cell"	0	"mesenchymal cell"	0	"FN1, FLT1, ISM2, NOTUM, PAPPA2, PRG2, ADAM12, FSTL3, QSOX1, SERPINE2,ENSG00000288908,ENSG00000310498,ENSG00000306299,ENSG00000248975,GTF2IP23,ENSG00000257268,ENSG00000308537,ENSG00000234292,ENSG00000296883,RN7SKP18"	"Placental trophoblasts"	"CL:2000060"	"placental villous trophoblast"	"epithelial cell"	1
